nombre,sigla,cobertura
"OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDERAL","OSPETAX",0.30
"OBRA SOCIAL DEL PERSONAL DE CONSIGNATARIOS DEL MERCADO NACIONAL DE HACIENDA DE LINIERS","OSPEMER",0.30
"OBRA SOCIAL DE LUZ Y FUERZA DE LA PATAGONIA","OSLYF PATAGONIA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y AFINES","OSPICHA",0.30
"OBRA SOCIAL DE AERONAVEGANTES","OSA",0.30
"OBRA SOCIAL DE JARDINEROS, PARQUISTAS, VIVERISTAS Y FLORICULTORES DE LA REPUBLICA ARGENTINA","OSJPVYF",0.30
"OBRA SOCIAL DE CERAMISTAS","OSCE",0.30
"OBRA SOCIAL DE FOTOGRAFOS","OSFOT",0.30
"OBRA SOCIAL DEL PERSONAL DE INSTALACIONES SANITARIAS","OSPIS",0.30
"OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN","OSPA",0.30
"OBRA SOCIAL DE CONDUCTORES NAVALES","OSCONARA",0.30
"OBRA SOCIAL DE FARMACEUTICOS Y BIOQUIMICOS","OSFYB",0.30
"OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR","OSMATA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL","OSPIT",0.30
"OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL  CLUB ARGENTINO","OSPACA",0.30
"OBRA SOCIAL DEL PERSONAL ADMINISTRATIVO Y TECNICO DE LA CONSTRUCCION Y AFINES","OSPATCA",0.30
"OBRA SOCIAL DE CAPITANES DE ULTRAMAR Y OFICIALES DE LA MARINA MERCANTE","OSCOMM",0.30
"OBRA SOCIAL DE  EMPLEADOS DE LA INDUSTRIA DEL VIDRIO","OSEIV",0.30
"OBRA SOCIAL DE LA ACTIVIDAD MINERA","O.S.A.M.",0.30
"OBRA SOCIAL DE EMPLEADOS DE DESPACHANTES DE ADUANA","OSEDA",0.30
"OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA","OSOETSYLARA",0.30
"OBRA SOCIAL DEL PERSONAL DE RECOLECCION Y BARRIDO DE ROSARIO","",0.30
"OBRA SOCIAL PARA PILOTOS DE LINEAS AEREAS COMERCIALES Y REGULARES","OSPLA",0.30
"OBRA SOCIAL DE CHOFERES DE CAMIONES","OSCHOCA",0.30
"OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO","OSPRO",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PESCADO DE MAR DEL PLATA","OSPIP",0.30
"OBRA SOCIAL DE EMPLEADOS DEL TABACO DE LA REPUBLICA ARGENTINA","OSETRA",0.30
"OBRA SOCIAL DEL PERSONAL DE TELEVISION","OSPTV",0.30
"OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS","OSCEP",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO","OSPIF",0.30
"OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD","OSPP",0.30
"OBRA SOCIAL DEL PERSONAL AERONAUTICO","OSPA",0.30
"OBRA SOCIAL DEL PERSONAL DE MANIPULEO, EMPAQUE Y EXPEDICION DE FRUTA FRESCA Y HORTALIZAS DE CUYO","OSFYHC",0.30
"OBRA SOCIAL DEL PERSONAL DE SOCIEDADES DE AUTORES Y AFINES","OSPESA",0.30
"OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES","OSPACP",0.30
"OBRA SOCIAL DE PETROLEROS","OSPE",0.30
"OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS Y LAVADEROS AUTOMATICOS DE LA PROVINCIA DE SANTA FE","OSPESGA",0.30
"OBRA SOCIAL PERSONAL ESTACIONES DE SERVICIO,GARAGES,PLAYAS Y LAVADEROS DE LA PROVINCIA DEL CHACO","OSPESCHA",0.30
"OBRA SOCIAL DE PETROLEROS DE CORDOBA","O.S.PE.COR",0.30
"OBRA SOCIAL ELECTRICISTAS NAVALES","OSEN",0.30
"OBRA SOCIAL DEL PERSONAL DE  MICROS Y OMNIBUS DE MENDOZA","OSPEMOM",0.30
"OBRA SOCIAL DEL PERSONAL DE ESCRIBANIAS DE LA PROVINCIA DE BUENOS AIRES","OSPEPBA",0.30
"OBRA SOCIAL DE DOCENTES PARTICULARES","OSDOP",0.30
"OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUERTOS","",0.30
"OBRA SOCIAL DE SERENOS DE BUQUES","",0.30
"OBRA SOCIAL DEL PERSONAL DE PRENSA DE TUCUMAN","OSPRENTUC",0.30
"OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES","OSETYA",0.30
"OBRA SOCIAL DE  LAS ASOCIACIONES DE EMPLEADOS DE FARMACIA","OSADEF",0.30
"OBRA SOCIAL DEL PERSONAL DE FABRICAS DE PINTURA","UPFPARA",0.30
"OBRA SOCIAL DE OFICIALES PELUQUEROS Y PEINADORES  DE LA 2DA CIRCUNSCRIPCION JUDICIAL DE LA PROVINCIA DE SANTA FE","",0.30
"OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA ARGENTINA","OSADRA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL HIELO Y MERCADOS PARTICULARES","OSPIHMP",0.30
"OBRA SOCIAL DE LA FEDERACION GREMIAL DEL PERSONAL DE  LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS","",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACION","OSPIA",0.30
"OBRA SOCIAL DEL PERSONAL DE LOS HIPODROMOS DE BUENOS AIRES Y SAN ISIDRO","OSPHGBAYSI",0.30
"OBRA SOCIAL UNION PERSONAL DE LA UNION DEL  PERSONAL CIVIL DE LA NACION","OSPCN",0.30
"OBRA SOCIAL DE LOS TRABAJADORES VIALES Y AFINES DE LA REPUBLICA ARGENTINA","",0.30
"OBRA SOCIAL DEL PERSONAL DE LAS TELECOMUNICACIONES DE LA REPUBLICA ARGENTINA","OSTEL",0.30
